source_id,state,path,sha256,bytes,requested_url,final_url,retrieved_utc,http_status,content_type,acquired,artifact_status,parent_url,discovery
tn_1_58_2006_254_en,Tamil Nadu,data/source_search/early_heads/raw/tn_1_58_2006_254_en.pdf,c70a6850423937298c7609007a239171c8afcbd280de6f3b477ea3ee35c85667,2745470,https://tnrd.tn.gov.in/project/go_files/1_58_2006_254_en.pdf,https://tnrd.tn.gov.in/project/go_files/1_58_2006_254_en.pdf,2026-09-08T04:57:28.123741+00:00,200,application/pdf,True,acquired_source,https://www.tnrd.tn.gov.in/dyn_json_schemes_name_details.php?go_type=MQ%3D%3D&n=bmV3&sch_code=NTg%3D&scheme_type=MQ%3D%3D&y=MjAxMQ%3D%3D,PDF link in retained official reservation-gazette index
tn_1_58_2011_316_en,Tamil Nadu,data/source_search/early_heads/raw/tn_1_58_2011_316_en.pdf,ee13b9ba82647a7ae1c14583baf3d3083c2aff77346161cdd31700da93c08527,1481656,https://tnrd.tn.gov.in/project/go_files/1_58_2011_316_en.pdf,https://tnrd.tn.gov.in/project/go_files/1_58_2011_316_en.pdf,2026-09-08T04:57:27.491567+00:00,200,application/pdf,True,acquired_source,https://www.tnrd.tn.gov.in/dyn_json_schemes_name_details.php?go_type=MQ%3D%3D&n=bmV3&sch_code=NTg%3D&scheme_type=MQ%3D%3D&y=MjAxMQ%3D%3D,PDF link in retained official reservation-gazette index
tn_1_58_2011_318_en,Tamil Nadu,data/source_search/early_heads/raw/tn_1_58_2011_318_en.pdf,340e18bc66c484a97c9ea7634f3ba6aa12ab715f2b73745c1d96f1b25bcf3ffd,1425952,https://tnrd.tn.gov.in/project/go_files/1_58_2011_318_en.pdf,https://tnrd.tn.gov.in/project/go_files/1_58_2011_318_en.pdf,2026-09-08T04:57:24.242687+00:00,200,application/pdf,True,acquired_source,https://www.tnrd.tn.gov.in/dyn_json_schemes_name_details.php?go_type=MQ%3D%3D&n=bmV3&sch_code=NTg%3D&scheme_type=MQ%3D%3D&y=MjAxMQ%3D%3D,PDF link in retained official reservation-gazette index
tn_election_history,Tamil Nadu,data/source_search/early_heads/raw/tn_election_history.html,232513797c7ffc3526d7e35365c89989ad9c61715dd822ca1a05c0e5f4ae1ca1,22429,https://www.tnrd.tn.gov.in/panchayatraj_inst/panchayat_elections.html,https://www.tnrd.tn.gov.in/panchayatraj_inst/panchayat_elections.html,2026-09-08T04:55:53.985720+00:00,200,text/html,True,acquired_source,,
tn_reservation_index,Tamil Nadu,data/source_search/early_heads/raw/tn_reservation_index.html,44f1869b4a07ae3b17f027fac8886648c376e3ec5fc9b1b3f60f059e2074ae49,10843,https://www.tnrd.tn.gov.in/dyn_json_schemes_name_details.php?go_type=MQ%3D%3D&n=bmV3&sch_code=NTg%3D&scheme_type=MQ%3D%3D&y=MjAxMQ%3D%3D,https://www.tnrd.tn.gov.in/dyn_json_schemes_name_details.php?go_type=MQ%3D%3D&n=bmV3&sch_code=NTg%3D&scheme_type=MQ%3D%3D&y=MjAxMQ%3D%3D,2026-09-08T04:55:49.943501+00:00,200,text/html; charset=UTF-8,True,acquired_source,,
up_mau_badraon_head_history,Uttar Pradesh,data/source_search/early_heads/raw/up_mau_badraon_head_history.pdf,5e6a68b319c54110cc22ea7db7e979fa14c16d0f05babe4d9730fc3241189d8d,4005949,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030535.pdf,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030535.pdf,2026-09-08T04:58:24.092324+00:00,200,application/pdf,True,acquired_source,https://mau.nic.in/en/panchayat-election-2021-1995-2015-reservations-details/,Gram Pradhan column in retained district historical reservation table
up_mau_dohrighat_head_history,Uttar Pradesh,data/source_search/early_heads/raw/up_mau_dohrighat_head_history.pdf,abb16c16b0092cf30fa297016f74115ab7722c9f18e4306d03c9c2dc75828290,2807266,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030560.pdf,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030560.pdf,2026-09-08T04:58:47.158407+00:00,200,application/pdf,True,acquired_source,https://mau.nic.in/en/panchayat-election-2021-1995-2015-reservations-details/,Gram Pradhan column in retained district historical reservation table
up_mau_fatehpur_mandraon_head_history,Uttar Pradesh,data/source_search/early_heads/raw/up_mau_fatehpur_mandraon_head_history.pdf,bd2233702407439b5ec4c0927a77b64e97580d355ded4fcd3e5c696199d2cf16,4917111,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030550.pdf,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030550.pdf,2026-09-08T04:58:51.489608+00:00,200,application/pdf,True,acquired_source,https://mau.nic.in/en/panchayat-election-2021-1995-2015-reservations-details/,Gram Pradhan column in retained district historical reservation table
up_mau_ghosi_head_history,Uttar Pradesh,data/source_search/early_heads/raw/up_mau_ghosi_head_history.pdf,dcfb1c2a6f5723f7a6752065ac2a0a4582d186c2f0a07e8bebcf2c8065dd77ba,3646778,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030570.pdf,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030570.pdf,2026-09-08T04:58:31.671204+00:00,200,application/pdf,True,acquired_source,https://mau.nic.in/en/panchayat-election-2021-1995-2015-reservations-details/,Gram Pradhan column in retained district historical reservation table
up_mau_index,Uttar Pradesh,data/source_search/early_heads/raw/up_mau_index.html,0aa0c73ae7caa2bf9f16caab75273332a3b88181ab3737edfbb85655cbdf26a2,136070,https://mau.nic.in/en/panchayat-election-2021-1995-2015-reservations-details/,https://mau.nic.in/en/panchayat-election-2021-1995-2015-reservations-details/,2026-09-08T04:55:48.320767+00:00,200,text/html; charset=UTF-8,True,acquired_source,,
up_mau_kopaganj_head_history,Uttar Pradesh,data/source_search/early_heads/raw/up_mau_kopaganj_head_history.pdf,f14597f6d8d7df90ab6386858edb7ad91a7440c992a8ca44ddeafb713c718dce,3829719,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030558.pdf,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030558.pdf,2026-09-08T04:59:13.482311+00:00,200,application/pdf,True,acquired_source,https://mau.nic.in/en/panchayat-election-2021-1995-2015-reservations-details/,Gram Pradhan column in retained district historical reservation table
up_mau_muhammadabad_head_history,Uttar Pradesh,data/source_search/early_heads/raw/up_mau_muhammadabad_head_history.pdf,c054da6cddf7c220740327e99f00e5c03ae1acbd8069c3e1d234687f53063930,4282204,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030575.pdf,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030575.pdf,2026-09-08T04:59:20.428741+00:00,200,application/pdf,True,acquired_source,https://mau.nic.in/en/panchayat-election-2021-1995-2015-reservations-details/,Gram Pradhan column in retained district historical reservation table
up_mau_pardaha_head_history,Uttar Pradesh,data/source_search/early_heads/raw/up_mau_pardaha_head_history.pdf,131c7bdfe687c87d8a651a66f9631f7c039b0f69d2dbf553b047bc88892d7fd7,2733156,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030564.pdf,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030564.pdf,2026-09-08T04:59:26.277367+00:00,200,application/pdf,True,acquired_source,https://mau.nic.in/en/panchayat-election-2021-1995-2015-reservations-details/,Gram Pradhan column in retained district historical reservation table
up_mau_ranipur_head_history,Uttar Pradesh,data/source_search/early_heads/raw/up_mau_ranipur_head_history.pdf,3e328ff523e956bc47adea17858330b8d78498b8dd231de9923f2197d5112896,5253686,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030571.pdf,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030571.pdf,2026-09-08T04:59:02.366352+00:00,200,application/pdf,True,acquired_source,https://mau.nic.in/en/panchayat-election-2021-1995-2015-reservations-details/,Gram Pradhan column in retained district historical reservation table
up_mau_ratanpura_head_history,Uttar Pradesh,data/source_search/early_heads/raw/up_mau_ratanpura_head_history.pdf,4dfb9e1be53846676360449660be1054d83f67e5dfb0b1da2a22fdb2dda743cb,4388066,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030541.pdf,https://cdn.s3waas.gov.in/s3ec8956637a99787bd197eacd77acce5e/uploads/2021/03/2021030541.pdf,2026-09-08T04:58:39.427030+00:00,200,application/pdf,True,acquired_source,https://mau.nic.in/en/panchayat-election-2021-1995-2015-reservations-details/,Gram Pradhan column in retained district historical reservation table
up_sec_analysis_index,Uttar Pradesh,data/source_search/early_heads/raw/up_sec_analysis_index.html,5b87a027d8a5ad6e0f55b3169aa76963740e1f5478a90ae8443a39842bc79959,36624,https://sec.up.nic.in/site/electionanalysis.aspx,https://sec.up.nic.in/site/electionanalysis.aspx,2026-09-08T05:04:22.130937+00:00,200,text/html; charset=utf-8,True,acquired_source,,"Official statistical-report index: early aggregate verification, not namedGP coverage"
