district,year,stage,tier,source_tiers,source_sha256,unit,parsed_rows,rows_with_category,rows_visually_reviewed,rows_with_visually_reviewed_resolved_name,distinct_name_readings,distinct_source_gp_keys,output,note
Purulia,2018,final,gp_deputy,gp_deputy,1513c2ed770c4c97455dd024458565c6ad009beb89422be02b8f00bb869a2b64,source_cell,2,1,2,1,1,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,259d0de8b3cebc7ffe302434b92e005eaff1447f6339d1b58886e613bd4936c1,source_cell,8,6,8,6,4,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,2d8ec6d056085bcb0e44c963f55107308023497eaf2ddc830b7a8467fe8b6135,source_cell,4,3,4,3,2,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,30e9edb92459085fcc368dbbd5bece4758ffe5a3373fa20a02513a9946cc6f88,source_cell,2,2,2,2,1,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,318fe8e2272ac224c380b3b2cd322531cf6fd8eace410a67a1626a1f4535b2c5,source_cell,4,3,4,3,2,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,39bb3ab0b7ca05a9030dca67cdce7ee16e5228fb93dad9df08a6f1981ee450ad,source_cell,6,5,6,5,3,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,5b1a2877fd976ed960b3ecd14908d63c1ac9e21b9b595d56265ebe88eba2d289,source_cell,2,1,2,1,1,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,622baf98c4406989badb3fb9ebdd34b5ddba2853825fa1e2c679bfa7ba4fa1e5,source_cell,4,3,4,3,2,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,63eea96148e205712a5015d5160ba0b43284111f11b951ec0ccc8013b15b07db,source_cell,4,3,4,3,2,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,78f3a0d22b4855b51b97c6eaa42fe5e6d39992e936f6f0307768d7a1919276d2,source_cell,2,1,2,1,1,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,91c7b4cce9929a1ba8765e21c91086d20465df1338783e8b9a43217742d1dbc1,source_cell,4,2,4,2,2,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,a25462f948c7739b43da57281c2b4d9cc3d1847b7ac19f962791e0ff8f0e72b5,source_cell,4,3,4,3,2,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,a3f907c3efe0e54d2f78c0c2e9c4de673192b4ad13052e809ec820616805ce28,source_cell,4,3,4,3,2,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,ad2aff428ec7ae4ce3264d0b899e49a3dc31f58370ac45570a7334c7a1c67f9b,source_cell,6,5,6,5,3,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,b28a4e5c95d5f383506577ac10e0a203d6e23531f2b8e286293db4a9c81e09ff,source_cell,4,2,4,2,2,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,cac852734ff55453a4c66e1a33fd9f76c4df55d506bbffb2050cb790050ca561,source_cell,6,4,6,4,3,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,f505b250611f3e5e83b9a016b4356228be62f5fe97165834373d777c488161b6,source_cell,4,3,4,3,2,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_deputy,gp_deputy,fa3344f75a9928225d95b0a02e1d6ef94f4253a3dd7665aab4f594fcc2cdc2fa,source_cell,4,3,4,3,2,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,0e0c7cd9988bcb47b3f70aefaad591dc886d44e373d1d79f2182826fb20846d0,source_cell,20,14,20,14,10,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,17c5bc08541132df60f4aa97b202dbd253529ea9637a0065a984d107e92f8aa4,source_cell,8,6,8,6,4,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,1918603942e9afd413f8eadbd7681885da42ea7324f3ca767674c77c14087a9c,source_cell,6,3,6,3,3,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,1c0af239799e0b72efd4f6c75c0247358281db873a07db2d22caff1d461c28c3,source_cell,14,8,14,8,7,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,272831139ec149626cb7c45811545b32c00bf3e5e7ba92bd2fb34a6f4c301fae,source_cell,8,5,8,5,4,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,28bbcbcec8c616779bc8df1b75208e1c0d48e8d809ed42628c9be87697dfd52d,source_cell,10,7,10,7,5,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,368de826306b52e861ac1a79b4f2ca84bef21e1a4a720f1914f7c12f59d696d8,source_cell,10,7,10,7,5,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,4e16de611616da317c64c13d00737c98b879de960bd0391d061688f3a2f9bf99,source_cell,14,10,14,10,7,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,4e836670e255412fe147f96258f7f241b12ae1c620cc43651dc7f59e716e84a9,source_cell,16,11,16,11,8,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,57cc4b307dee750d43185fd6107888d7c377beaefcf8c35d457e7b44e140c04b,source_cell,16,11,16,11,8,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,60800840e9d943858ca2ab41312973c6bb42e623069a875032a0d3e553efba85,source_cell,16,11,16,11,8,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,770d44ae0818307cd876953f6ee9d602e86df07628853f9ae04f11434cc16cc6,source_cell,12,9,12,9,6,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,98661ff133719a2aac53af02075e9047092b6f1fe947d4ba77d067537ff285c0,source_cell,12,6,12,6,6,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,9f28a3b99dcae4e1b0b519a714bc0eebd1e6ab0dd91319e38205240e80df5b02,source_cell,12,8,12,8,6,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,a8e3f07d43f4841247270dd89f43ee2e7e81e7157d3b6cf40cdb26828b32769c,source_cell,16,11,16,11,8,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,af827949bd338cf1cc36a7fb2bcf305580a72407e60b34e84401f2c815c4fdda,source_cell,12,7,12,7,6,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,b8212d4c31794e14f24bfc2da93af90f7c093f6f2d19fe9819112a3d3238c16e,source_cell,12,8,12,8,6,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,da676f63c655adf4727db80e2d05a6f9cd7bd495fdff061c531c226ba83a1a15,source_cell,16,11,16,11,8,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,f08ec747baa252d5ed2aa86888661dcb546c5d7468ccfc51e8cbf6bfbc35f247,source_cell,12,8,12,8,6,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
Purulia,2018,final,gp_head,gp_head,fa6fdace562a43f290da44a74046ccd479b808dbc9ff334ae6904957ab1dde49,source_cell,14,9,14,9,7,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
South 24 Parganas,2018,draft,gp_deputy,gp_deputy,38b4d02632b217adabd34f14c77445628d402221452990726e41e8cc743c68ba,source_cell,154,115,154,115,77,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
South 24 Parganas,2018,draft,gp_head,gp_head,aa876d838a4cb51d18cacb6c9c144e01856ecc6e8886c8be08b9bcae4b73ae2b,source_cell,468,310,468,310,230,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
South 24 Parganas,2018,final,gp_deputy,gp_deputy,2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,source_cell,154,115,154,115,77,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
South 24 Parganas,2018,final,gp_head,gp_head,6fa2911868350033e421c3ec257144a9618feb0fe27c07c5116d6763be056973,source_cell,466,310,466,310,230,0,data/wb/derived/office_native/cell_review.csv,Do not sum drafts/finals or overlapping sources. Distinct name strings are not harmonized GP identifiers. Reviewed cells include reviewed blanks and unresolved names. Blank other axes remain unknown in positive office lists.
