district,year,head_source_status,ward_source_status,deputy_source_status,head_gp_source_universe,head_gp_parsed_source_complete,head_gp_parsed_strict,head_gp_officially_verified,head_gp_judgment_evidence,source_reference,next_action,notes
Cooch Behar,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Hooghly,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Howrah,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Jalpaiguri,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Malda,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Medinipur,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Murshidabad,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Nadia,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Purulia,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
West Dinajpur,1983,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Bankura,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Bardhaman,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Birbhum,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Cooch Behar,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Hooghly,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Howrah,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Jalpaiguri,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Malda,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Medinipur,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Murshidabad,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Nadia,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
North 24 Parganas,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Purulia,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
South 24 Parganas,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
West Dinajpur,1988,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Bankura,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Bardhaman,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Birbhum,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Cooch Behar,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Dakshin Dinajpur,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Hooghly,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Howrah,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Jalpaiguri,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Malda,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Medinipur,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Murshidabad,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Nadia,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
North 24 Parganas,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Purulia,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
South 24 Parganas,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Uttar Dinajpur,1993,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Check office rules; seek named ward reservations,Women head quotas start in 1998; earlier SC/ST office timing needs review. Do not infer all offices unreserved.
Bankura,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Bardhaman,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Birbhum,1998,research_parsed_with_conflicts,not_acquired,research_unparsed,166,161,158,0,0,data/wb/chattopadhyaya_duflo.zip;data/wb/derived/birbhum_reservations,Resolve source conflicts; recover official named-GP orders,161 complete; one SC/ST contradiction; exact-name audit flags three GPs; baseline strict count 158. Beaman prior-period observations retained separately; not added to baseline count.
Cooch Behar,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Dakshin Dinajpur,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Hooghly,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Howrah,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Jalpaiguri,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Malda,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Medinipur,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Murshidabad,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Nadia,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
North 24 Parganas,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Purulia,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
South 24 Parganas,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Uttar Dinajpur,1998,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Bankura,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Bardhaman,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Birbhum,2003,research_parsed_with_year_exceptions,not_acquired,not_acquired,165,165,163,0,0,data/wb/vintage_search/raw/898f2f74836e83ae.dta,Resolve two current-year exceptions; recover official orders,"165 named GPs; 163 explicit 2003 codes. Research observations, not official verification."
Cooch Behar,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Dakshin Dinajpur,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Hooghly,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Howrah,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Jalpaiguri,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Malda,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Murshidabad,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Nadia,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
North 24 Parganas,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Paschim Medinipur,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Purba Medinipur,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Purulia,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
South 24 Parganas,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Uttar Dinajpur,2003,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Bankura,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Bardhaman,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Birbhum,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Cooch Behar,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Dakshin Dinajpur,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Hooghly,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Howrah,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Jalpaiguri,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Malda,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Murshidabad,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Nadia,2008,not_acquired,parsed_ward_sources_review_status_varies,not_acquired,,0,0,0,0,data/wb/gp_source_search/historical_expansion;data/wb/derived/nadia_2008,Find Pradhan schedules; review flagged ward rows,"141 reservation PDFs; parsed GP-member rows and source-control counts are in derived/nadia_2008. These are ward reservations, not Pradhan assignments."
North 24 Parganas,2008,judgment_partial_year_inferred,not_acquired,not_acquired,,0,0,0,1,data/wb/vintage_search/court_observations.jsonl,Recover dated district office-reservation orders,Named Pradhan category stated in judgment; cycle inferred. Unmentioned categories null; not a district roster.
Paschim Medinipur,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Purba Medinipur,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Purulia,2008,judgment_partial_year_inferred,not_acquired,not_acquired,,0,0,0,1,data/wb/vintage_search/court_observations.jsonl,Recover dated district office-reservation orders,Named Pradhan category stated in judgment; cycle inferred. Unmentioned categories null; not a district roster.
South 24 Parganas,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Uttar Dinajpur,2008,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Bankura,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Bardhaman,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Birbhum,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Cooch Behar,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Dakshin Dinajpur,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Hooghly,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Howrah,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Jalpaiguri,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Malda,2013,not_acquired,acquired_unparsed,not_acquired,,0,0,0,0,data/wb/gp_source_search/archived_district_files;data/wb/gp_source_search/followed_links/malda_696e786383.pdf,Find Ratua-II and Pradhan office orders,14 of 15 block reservation schedules; mixed GP/PS; no verified Pradhan roster.
Murshidabad,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Nadia,2013,parsed_office_sources_review_status_varies,not_acquired,parsed_office_sources_review_status_varies,187,186,0,0,0,data/wb/derived/nadia_2013_handbook;data/wb/derived/office_scans;data/wb/vintage_search/office_parsing_by_source.csv,Review source-pinned office readings; recover gaps in named GP coverage,Full handbook roster includes explicit UR and a blank Pradhan category. Separate reserved-office orders overlap; do not sum their rows.
North 24 Parganas,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Paschim Medinipur,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Purba Medinipur,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Purulia,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
South 24 Parganas,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Uttar Dinajpur,2013,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Alipurduar,2018,parsed_office_sources_review_status_varies,final_acquired_unparsed,parsed_office_sources_review_status_varies,,0,0,0,0,data/wb/gp_source_search/historical_expansion;data/wb/vintage_search/office_parsing_by_source.csv,Review source-pinned office readings; recover gaps in named GP coverage,12-page office/gazette document plus 104-page GP/PS ward reservation file.
Bankura,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Birbhum,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Cooch Behar,2018,not_acquired,draft_acquired_unparsed,not_acquired,,0,0,0,0,data/wb/gp_source_search/archived_district_files,Find final ward and Pradhan schedules,"24 draft block Form A/B PDFs, 207 pages. Result-link block totals do not fill gap."
Dakshin Dinajpur,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Hooghly,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Howrah,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Jalpaiguri,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Jhargram,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Malda,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Murshidabad,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Nadia,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
North 24 Parganas,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Paschim Bardhaman,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Paschim Medinipur,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Purba Bardhaman,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Purba Medinipur,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Purulia,2018,parsed_office_sources_review_status_varies,not_acquired,parsed_office_sources_review_status_varies,170,0,0,0,0,data/wb/gp_source_search/archived_district_files;data/wb/vintage_search/office_parsing_by_source.csv,Review source-pinned office readings; recover gaps in named GP coverage,"40 PDFs across two office series. 170 is printed universe, not parsed assignments."
South 24 Parganas,2018,parsed_office_sources_review_status_varies,not_acquired,parsed_office_sources_review_status_varies,310,0,0,0,0,data/wb/gp_source_search/historical_expansion;data/wb/vintage_search/office_parsing_by_source.csv,Review source-pinned office readings; recover gaps in named GP coverage,"Final 6 March 2018; Pradhan 12 pages, deputy 6 pages; 310 is source universe."
Uttar Dinajpur,2018,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Alipurduar,2023,parsed_office_sources_review_status_varies,mixed_draft_final_acquired_unparsed,parsed_office_sources_review_status_varies,,0,0,0,0,data/wb/2023/gp_sources/manifest.csv;data/wb/vintage_search/office_parsing_by_source.csv,Review source-pinned office readings; recover gaps in named GP coverage,64 named GP ward files plus PS/office records; 76 final and 6 draft PDFs overall. Do not use ward count as office completeness.
Bankura,2023,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Birbhum,2023,parsed_office_sources_review_status_varies,final_acquired_unparsed,parsed_office_sources_review_status_varies,167,0,0,0,0,data/wb/2023/gp_sources/manifest.csv;data/wb/vintage_search/office_parsing_by_source.csv,Review source-pinned office readings; recover gaps in named GP coverage,19 block ward PDFs; 167-GP source universe.
Cooch Behar,2023,parsed_office_sources_review_status_varies,final_acquired_unparsed,parsed_office_sources_review_status_varies,128,0,0,0,0,data/wb/2023/gp_sources/manifest.csv;data/wb/vintage_search/office_parsing_by_source.csv,Review source-pinned office readings; recover gaps in named GP coverage,9-page final office order; 128-GP source universe; 126 archive PDFs are not 126 GPs.
Dakshin Dinajpur,2023,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Darjeeling hills,2023,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Hooghly,2023,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Howrah,2023,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Jalpaiguri,2023,parsed_office_sources_review_status_varies,draft_acquired_unparsed,parsed_office_sources_review_status_varies,80,0,0,0,0,data/wb/2023/gp_sources/manifest.csv;data/wb/vintage_search/office_parsing_by_source.csv,Review source-pinned office readings; recover gaps in named GP coverage,9 block draft ward schedules; final offices 5 pages; source universe 80.
Jhargram,2023,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Kalimpong,2023,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Malda,2023,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
Murshidabad,2023,not_acquired,not_acquired,not_acquired,,0,0,0,0,,Search district/block Pradhan reservation schedules,Not acquired does not establish nonexistence
