source,source_gp_id,district,block_raw,gp_raw,office,reported_period,source_file,source_sha256,raw_women,reserved_women,raw_sc,reserved_sc,raw_st,reserved_st,election_year,year_evidence,flags,eligible_within_source_strict,name_key,raw_AA0_2b,raw_year,raw_year_2,raw_year_888,raw_prev_year,raw_prev_year_888_1,raw_prev_year_888_2,raw_comments,cross_source_conflict,eligible_after_exact_name_audit
cd,4,Birbhum,BOLPUR-SRINIKETAN,RAIPUR-SUPUR,Pradhan,current,data/wb/chattopadhyaya_duflo.zip,126dbb6f9dfbd8bf05ef68d7b1a98c9c8c9f54f85c68b0ef0e73acf0089f3693,,,,,,,1998,survey_2000_paper_dates_1998_election,missing_reservation,False,BOLPURSRINIKETAN|RAIPURSUPUR,,,,,,,,,False,False
beaman,148,Birbhum,MURARAI - II,Paikor-II,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,1,True,2,False,2,False,,previous_incumbent_not_linked_to_1998,previous_incumbent_not_linked_to_1998,False,MURARAIII|PAIKORII,149,1,,,888,2003,2005,"Being ill, Mr. Babar Sk., the Pradhan elected after the 203 Panchayat elections resigend from the Pradhan's post and Mr. Tokinuddin Mondal took over as the Pradhan",False,False
beaman,102,Birbhum,KHYARASOL,Rupaspur,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,2,False,1,True,2,False,1998,within_1998_term_inferred,within_1998_term_inferred,False,KHYARASOL|RUPASPUR,97,1,,,888,2001,2003,Due to health reasons Mr. Jiten Barui resigend from the post of Pradhan and Smt. Sumai Das took over the charge as Pradhan,False,False
beaman,101,Birbhum,KHYARASOL,Parsundi,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,2,False,2,False,2,False,1998,within_1998_term_inferred,within_1998_term_inferred,False,KHYARASOL|PARSUNDI,96,1,,,888,2000,2003,"After loosing in a no-confidence motion in 2000, Mr. Nanda Dulal Das stepped down from the Pradhan's post and Mr. Umapada Mondal took over as the Pradhan",False,False
beaman,10,Birbhum,ILLAMBAZAR,Batikor,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,1,True,2,False,2,False,1998,within_1998_term_inferred,within_1998_term_inferred,False,ILLAMBAZAR|BATIKOR,10,1,,,888,1998,2002,"After loosing in a no confidence motion the Pradhan elected in the 1998 Panchayat elections, Smt. Duli Soren,  stepped down and due to lack of majority in the Panchayat no party could field up a Pradhan after that.",False,False
beaman,34,Birbhum,NANOOR,Daskalgram Kareya-II,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,1,True,1,True,2,False,1998,within_1998_term_inferred,within_1998_term_inferred,False,NANOOR|DASKALGRAMKAREYAII,34,1,,,888,1998,2001,Due to health reasons the Pradhan selected after the 1998 elections and Smt. Parbati Saha took over the charge of the Pradhan,False,False
beaman,162,Birbhum,MAYURESWAR - II,Kundala,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,1,True,2,False,2,False,1998,within_1998_term_inferred,within_1998_term_inferred,False,MAYURESWARII|KUNDALA,163,1,,,888,2001,2003,"After loosing in a no-confidence motion the Pradhan elected after the Panchayat elections in 1998, Smt. Kalyani Mondal,  resigend whence Smt. Kabari Mondal took over the charge as Pardhan.",False,False
beaman,124,Birbhum,RAMPURHAT - I,Kusumba,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,2,False,2,False,2,False,1998,within_1998_term_inferred,within_1998_term_inferred,False,RAMPURHATI|KUSUMBA,109,1,,,888,2001,2003,After loosing in a no-confidence motion Mr. Lakshiram Murmu resigend from the Pradhan's post and Mr. Balaknath Mondal took over as Pradhan.,True,False
beaman,50,Birbhum,SAINTHIA,Panrui,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,1,True,2,False,2,False,1998,within_1998_term_inferred,within_1998_term_inferred,False,SAINTHIA|PANRUI,63,1,,,888,2000,2003,"After loosing in a no-confidence motion the Pradhan selected after the 1998 Panchayat elections, Smt. Anna Das stepped down and Smt. Monoara Bibi took over the charge",True,False
beaman,161,Birbhum,MAYURESWAR - II,Kaleswar,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,2,False,2,False,2,False,1998,within_1998_term_inferred,within_1998_term_inferred,False,MAYURESWARII|KALESWAR,162,1,,,888,1999,2003,After the Panchayat elections in 1998 Smt. Papiya Jasmine took over as the Pradhan but loosing in a vote of no-confidence she had to step down whence Mr. Kanailal Bagdi took over as the Pradhan-in-charge. A few months after this Mr. Taksar Sk.,False,False
beaman,126,Birbhum,RAMPURHAT - I,Narayanpur,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,2,False,1,True,2,False,1998,within_1998_term_inferred,within_1998_term_inferred,False,RAMPURHATI|NARAYANPUR,111,1,,,888,2000,2003,"After loosing in a no-confidence motion, Mr. Hriday Mal, the Pradhan elected after the Panchayat elections in 1998,  resigend from the Pradhan's post and Mr.Narayan Mondal took over as Pradhan.",False,False
beaman,37,Birbhum,NANOOR,Kirnahar-II,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,2,False,2,False,2,False,,previous_incumbent_not_linked_to_1998,previous_incumbent_not_linked_to_1998,False,NANOOR|KIRNAHARII,37,1,,,888,2003,2004,"After loosing in a no-confidence motion the pradhan elected in the Panchayat elections in 2003, Mr. Asraf Hossain, stepped down whence Mr. Sukumar Pal took over the charge.",False,False
beaman,118,Birbhum,RAMPURHAT - I,Ayas,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,2,False,2,False,2,False,1998,explicit_1998_to_2003,,True,RAMPURHATI|AYAS,103,998,,,1,,,,True,False
beaman,149,Birbhum,MURARAI - II,Rudranagar,Pradhan,previous,data/wb/vintage_search/raw/898f2f74836e83ae.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,1,True,1,True,2,False,,previous_incumbent_not_linked_to_1998,previous_incumbent_not_linked_to_1998,False,MURARAIII|RUDRANAGAR,150,2,2004,2006,888,2003,2003,"The Pradhan selected after 2003 Panchayat elections, Mr. Milan Bhuimali, got severely ill soon after taking over the charge of Pradhan and had to be admitted in a hospital in Kolkata. During the period of illness of Mr. Milan Bhuimali, the Upa-",False,False
